,0
2019-04-30 08:57:00,3
2019-04-30 08:57:01,1
2019-04-30 08:57:02,2
2019-04-30 08:57:03,3
2019-04-30 08:57:04,2
2019-04-30 08:57:05,0
2019-04-30 08:57:06,2
2019-04-30 08:57:07,3
2019-04-30 08:57:08,2
2019-04-30 08:57:09,2
2019-04-30 08:57:10,3
2019-04-30 08:57:11,0
2019-04-30 08:57:12,1
2019-04-30 08:57:13,1
2019-04-30 08:57:14,1
2019-04-30 08:57:15,1
2019-04-30 08:57:16,2
2019-04-30 08:57:17,4
2019-04-30 08:57:18,3
2019-04-30 08:57:19,1
2019-04-30 08:57:20,0
2019-04-30 08:57:21,5
2019-04-30 08:57:22,2
2019-04-30 08:57:23,2
2019-04-30 08:57:24,5
2019-04-30 08:57:25,2
2019-04-30 08:57:26,2
2019-04-30 08:57:27,2
2019-04-30 08:57:28,1
2019-04-30 08:57:29,3
2019-04-30 08:57:30,5
2019-04-30 08:57:31,0
2019-04-30 08:57:32,1
2019-04-30 08:57:33,3
2019-04-30 08:57:34,3
2019-04-30 08:57:35,2
2019-04-30 08:57:36,2
2019-04-30 08:57:37,3
2019-04-30 08:57:38,1
2019-04-30 08:57:39,1
2019-04-30 08:57:40,2
2019-04-30 08:57:41,3
2019-04-30 08:57:42,0
2019-04-30 08:57:43,1
2019-04-30 08:57:44,1
2019-04-30 08:57:45,0
2019-04-30 08:57:46,2
2019-04-30 08:57:47,2
2019-04-30 08:57:48,2
2019-04-30 08:57:49,1
2019-04-30 08:57:50,7
2019-04-30 08:57:51,4
2019-04-30 08:57:52,2
2019-04-30 08:57:53,3
2019-04-30 08:57:54,5
2019-04-30 08:57:55,6
2019-04-30 08:57:56,6
2019-04-30 08:57:57,4
2019-04-30 08:57:58,2
2019-04-30 08:57:59,2
2019-04-30 08:58:00,1
2019-04-30 08:58:01,1
2019-04-30 08:58:02,2
2019-04-30 08:58:03,4
2019-04-30 08:58:04,1
2019-04-30 08:58:05,1
2019-04-30 08:58:06,7
2019-04-30 08:58:07,8
2019-04-30 08:58:08,10
2019-04-30 08:58:09,11
2019-04-30 08:58:10,16
2019-04-30 08:58:11,5
2019-04-30 08:58:12,10
2019-04-30 08:58:13,3
2019-04-30 08:58:14,4
2019-04-30 08:58:15,10
2019-04-30 08:58:16,6
2019-04-30 08:58:17,6
2019-04-30 08:58:18,1
2019-04-30 08:58:19,2
2019-04-30 08:58:20,1
2019-04-30 08:58:21,2
2019-04-30 08:58:22,4
2019-04-30 08:58:23,1
2019-04-30 08:58:24,2
2019-04-30 08:58:25,2
2019-04-30 08:58:26,0
2019-04-30 08:58:27,0
2019-04-30 08:58:28,1
2019-04-30 08:58:29,2
2019-04-30 08:58:30,0
2019-04-30 08:58:31,1
2019-04-30 08:58:32,1
2019-04-30 08:58:33,1
2019-04-30 08:58:34,2
2019-04-30 08:58:35,0
2019-04-30 08:58:36,0
2019-04-30 08:58:37,0
2019-04-30 08:58:38,1
2019-04-30 08:58:39,3
2019-04-30 08:58:40,2
2019-04-30 08:58:41,2
2019-04-30 08:58:42,4
2019-04-30 08:58:43,3
2019-04-30 08:58:44,5
2019-04-30 08:58:45,4
2019-04-30 08:58:46,1
2019-04-30 08:58:47,4
2019-04-30 08:58:48,1
2019-04-30 08:58:49,4
2019-04-30 08:58:50,6
2019-04-30 08:58:51,1
2019-04-30 08:58:52,2
2019-04-30 08:58:53,4
2019-04-30 08:58:54,5
2019-04-30 08:58:55,1
2019-04-30 08:58:56,1
2019-04-30 08:58:57,2
2019-04-30 08:58:58,0
2019-04-30 08:58:59,1
2019-04-30 08:59:00,4
2019-04-30 08:59:01,0
2019-04-30 08:59:02,2
2019-04-30 08:59:03,7
2019-04-30 08:59:04,4
2019-04-30 08:59:05,1
2019-04-30 08:59:06,2
2019-04-30 08:59:07,2
2019-04-30 08:59:08,4
2019-04-30 08:59:09,6
2019-04-30 08:59:10,3
2019-04-30 08:59:11,2
2019-04-30 08:59:12,3
2019-04-30 08:59:13,0
2019-04-30 08:59:14,0
2019-04-30 08:59:15,3
2019-04-30 08:59:16,2
2019-04-30 08:59:17,7
2019-04-30 08:59:18,8
2019-04-30 08:59:19,11
2019-04-30 08:59:20,8
2019-04-30 08:59:21,13
2019-04-30 08:59:22,5
2019-04-30 08:59:23,8
2019-04-30 08:59:24,5
2019-04-30 08:59:25,6
2019-04-30 08:59:26,4
2019-04-30 08:59:27,7
2019-04-30 08:59:28,2
2019-04-30 08:59:29,4
2019-04-30 08:59:30,2
2019-04-30 08:59:31,5
2019-04-30 08:59:32,5
2019-04-30 08:59:33,8
2019-04-30 08:59:34,1
2019-04-30 08:59:35,7
2019-04-30 08:59:36,6
2019-04-30 08:59:37,6
2019-04-30 08:59:38,5
2019-04-30 08:59:39,3
2019-04-30 08:59:40,3
2019-04-30 08:59:41,4
2019-04-30 08:59:42,1
2019-04-30 08:59:43,4
2019-04-30 08:59:44,1
2019-04-30 08:59:45,2
2019-04-30 08:59:46,2
2019-04-30 08:59:47,4
2019-04-30 08:59:48,3
2019-04-30 08:59:49,3
2019-04-30 08:59:50,6
2019-04-30 08:59:51,5
2019-04-30 08:59:52,2
2019-04-30 08:59:53,3
2019-04-30 08:59:54,6
2019-04-30 08:59:55,4
2019-04-30 08:59:56,2
2019-04-30 08:59:57,2
2019-04-30 08:59:58,4
2019-04-30 08:59:59,1
2019-04-30 09:00:00,4
2019-04-30 09:00:01,7
2019-04-30 09:00:02,6
2019-04-30 09:00:03,6
2019-04-30 09:00:04,4
2019-04-30 09:00:05,2
2019-04-30 09:00:06,6
2019-04-30 09:00:07,2
2019-04-30 09:00:08,3
2019-04-30 09:00:09,4
2019-04-30 09:00:10,4
2019-04-30 09:00:11,2
2019-04-30 09:00:12,4
2019-04-30 09:00:13,1
2019-04-30 09:00:14,0
2019-04-30 09:00:15,2
2019-04-30 09:00:16,5
2019-04-30 09:00:17,1
2019-04-30 09:00:18,6
2019-04-30 09:00:19,12
2019-04-30 09:00:20,12
2019-04-30 09:00:21,11
2019-04-30 09:00:22,13
2019-04-30 09:00:23,6
2019-04-30 09:00:24,3
2019-04-30 09:00:25,4
2019-04-30 09:00:26,8
2019-04-30 09:00:27,1
2019-04-30 09:00:28,7
2019-04-30 09:00:29,1
2019-04-30 09:00:30,3
2019-04-30 09:00:31,3
2019-04-30 09:00:32,1
2019-04-30 09:00:33,3
2019-04-30 09:00:34,6
2019-04-30 09:00:35,2
2019-04-30 09:00:36,5
2019-04-30 09:00:37,1
2019-04-30 09:00:38,2
2019-04-30 09:00:39,8
2019-04-30 09:00:40,5
2019-04-30 09:00:41,4
2019-04-30 09:00:42,4
2019-04-30 09:00:43,4
2019-04-30 09:00:44,3
